City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Cidreira,BR,-30.1811,-50.2056,73.29,78,3,10.22,clear sky
Muros,ES,42.7762,-9.0603,44.01,91,95,5.01,overcast clouds
Cayenne,GF,4.9333,-52.3333,81.0,94,20,2.3,few clouds
Belmonte,BR,-15.8631,-38.8828,78.8,73,0,9.22,clear sky
Albany,US,42.6001,-73.9662,52.0,84,100,1.99,overcast clouds
Mitsamiouli,KM,-11.3847,43.2844,82.27,71,5,2.71,clear sky
Christchurch,NZ,-43.5333,172.6333,66.2,63,20,17.27,few clouds
Kichera,RU,55.9375,110.0997,23.74,81,100,5.46,overcast clouds
Klaksvik,FO,62.2266,-6.589,39.2,87,16,2.3,few clouds
Sorland,NO,67.667,12.6934,37.15,81,100,16.4,light rain
Ust-Tsilma,RU,65.441,52.1498,34.05,98,100,11.07,light snow
Izyaslav,UA,50.1195,26.8213,28.6,74,18,4.92,few clouds
Grindavik,IS,63.8424,-22.4338,28.4,86,75,1.14,broken clouds
Altay,CN,47.8667,88.1167,22.96,57,11,7.11,few clouds
Caravelas,BR,-17.7125,-39.2481,75.22,83,0,5.06,clear sky
Kaitangata,NZ,-46.2817,169.8464,61.0,88,86,14.0,overcast clouds
Saint George,US,37.1041,-113.5841,63.0,12,1,11.5,clear sky
Hithadhoo,MV,-0.6,73.0833,83.01,70,82,11.23,broken clouds
Esperance,AU,-33.8667,121.9,62.6,77,19,12.66,few clouds
Nome,US,64.5011,-165.4064,24.8,80,75,12.66,broken clouds
Songjianghe,CN,42.1859,127.479,44.13,57,11,8.97,few clouds
Salalah,OM,17.0151,54.0924,75.2,83,20,1.14,few clouds
Ponta Do Sol,PT,32.6667,-17.1,57.0,68,100,1.01,overcast clouds
Lasa,IT,46.6166,10.7002,42.01,74,0,8.05,clear sky
Qaanaaq,GL,77.484,-69.3632,-19.77,56,16,8.01,few clouds
Fortuna,US,40.5982,-124.1573,51.01,87,90,6.91,overcast clouds
Dunedin,NZ,-45.8742,170.5036,57.99,88,100,5.99,overcast clouds
Qui Nhon,VN,13.7667,109.2333,75.36,86,100,6.67,overcast clouds
Mahebourg,MU,-20.4081,57.7,73.4,100,20,4.61,few clouds
Cape Town,ZA,-33.9258,18.4232,68.0,82,0,2.3,clear sky
New Norfolk,AU,-42.7826,147.0587,63.0,72,100,3.0,light rain
Byron Bay,AU,-28.65,153.6167,80.6,50,0,9.22,clear sky
Dikson,RU,73.5069,80.5464,-3.87,99,96,3.44,overcast clouds
Eidfjord,NO,60.4675,7.0719,35.4,96,98,3.62,overcast clouds
Saint-Philippe,RE,-21.3585,55.7679,77.0,73,0,6.91,clear sky
Nguru,NG,12.8791,10.4526,79.16,17,58,9.57,broken clouds
Bisho,ZA,-32.8472,27.4422,59.99,95,100,4.76,overcast clouds
Saldanha,ZA,-33.0117,17.9442,69.8,68,0,2.3,clear sky
Mataura,NZ,-46.1927,168.8643,63.0,75,9,3.0,clear sky
Kapaa,US,22.0752,-159.319,80.01,78,1,13.8,clear sky
Sabang,ID,5.8933,95.3214,83.39,72,76,16.58,broken clouds
Hearst,CA,49.6835,-83.6665,24.8,93,100,5.75,overcast clouds
Avarua,CK,-21.2078,-159.775,86.0,74,40,17.27,scattered clouds
Barrow,US,71.2906,-156.7887,-2.2,71,75,8.05,broken clouds
Kyabe,TD,9.4515,18.9449,83.57,47,99,3.74,overcast clouds
Sao Filipe,CV,14.8961,-24.4956,71.67,74,1,16.69,clear sky
Provideniya,RU,64.3833,-173.3,17.6,73,75,13.42,light snow
Isla Mujeres,MX,21.2311,-86.731,80.01,83,40,9.22,scattered clouds
Sinnamary,GF,5.3833,-52.95,76.73,86,100,9.55,overcast clouds
Waipawa,NZ,-41.4122,175.5153,66.99,68,90,6.91,overcast clouds
Sitka,US,57.0531,-135.33,37.4,87,75,8.05,light rain
Talnakh,RU,69.4865,88.3972,15.53,94,100,10.83,light snow
Kalanguy,RU,51.0167,116.5167,27.28,85,6,2.82,clear sky
Lagos,NG,6.5833,3.75,79.36,78,100,7.14,overcast clouds
Hasaki,JP,35.7333,140.8333,64.99,59,75,10.36,broken clouds
Humaita,BR,-7.5061,-63.0208,71.17,99,92,1.9,overcast clouds
San Patricio,US,28.017,-97.5169,77.0,94,75,11.5,mist
Hualmay,PE,-11.0964,-77.6139,71.06,79,100,10.58,overcast clouds
Klyuchi,RU,52.2667,79.1667,22.33,91,100,6.69,overcast clouds
Innisfail,AU,-17.5333,146.0333,83.21,76,21,2.91,few clouds
Moron,AR,-34.6534,-58.6198,75.99,78,63,1.99,broken clouds
Lebu,CL,-37.6167,-73.65,54.43,65,50,18.43,scattered clouds
Urumqi,CN,43.801,87.6005,33.8,93,1,4.47,clear sky
Bontang,ID,0.1333,117.5,79.74,81,100,2.1,overcast clouds
Zhezkazgan,KZ,47.8043,67.7144,22.06,83,100,8.55,snow
Ust-Nera,RU,64.5667,143.2,-3.01,85,92,4.38,overcast clouds
Bambous Virieux,MU,-20.3428,57.7575,77.0,100,20,4.61,few clouds
Upernavik,GL,72.7868,-56.1549,-24.5,94,65,4.41,broken clouds
Pemangkat,ID,1.1667,108.9667,77.34,86,100,5.19,overcast clouds
Warwick,US,41.7001,-71.4162,52.0,87,90,5.75,overcast clouds
Clarksburg,US,39.2807,-80.3445,68.0,45,1,3.44,clear sky
Alappuzha,IN,9.49,76.3264,79.23,84,100,7.34,overcast clouds
Bayonet Point,US,28.3267,-82.6834,70.0,79,34,4.03,scattered clouds
Chokurdakh,RU,70.6333,147.9167,-12.06,95,83,5.75,broken clouds
Maragogi,BR,-9.0122,-35.2225,78.01,79,10,7.7,clear sky
Caracollo,PE,-14.9165,-70.6603,44.06,88,100,4.18,moderate rain
Aksu,CN,41.1231,80.2644,49.03,25,100,4.97,overcast clouds
Benjamin Constant,BR,-4.3831,-70.0311,75.2,100,0,2.3,light rain
Macusani,PE,-14.0833,-70.4333,37.92,83,96,5.5,overcast clouds
Radomsko,PL,51.0671,19.4448,39.0,96,97,3.06,overcast clouds
Galesong,ID,-5.3166,119.3661,84.2,79,20,3.44,few clouds
Machilipatnam,IN,16.1667,81.1333,77.0,83,18,3.44,mist
Ponta Delgada,PT,37.7333,-25.6667,55.4,71,20,4.61,few clouds
Karratha,AU,-20.7377,116.8463,86.22,50,5,5.01,clear sky
Chokwe,MZ,-24.5333,32.9833,64.4,80,7,4.09,clear sky
North Bend,US,43.4065,-124.2243,48.2,100,90,13.8,mist
Praia Da Vitoria,PT,38.7333,-27.0667,52.0,87,20,4.12,few clouds
Yellandu,IN,17.6,80.3333,76.12,50,4,2.3,clear sky
Turukhansk,RU,65.8167,87.9833,20.21,95,100,9.55,light snow
Brigantine,US,39.4101,-74.3646,59.0,94,90,3.44,moderate rain
Clyde River,CA,70.4692,-68.5914,-14.8,76,40,16.11,scattered clouds
Trairi,BR,-3.2778,-39.2689,76.3,90,100,4.99,overcast clouds
Torbay,CA,47.6666,-52.7314,36.0,69,75,5.75,broken clouds
Shingu,JP,33.7333,135.9833,53.6,87,75,8.05,light rain
Prince Rupert,CA,54.3161,-130.3201,42.8,70,90,18.41,light snow
Souillac,MU,-20.5167,57.5167,73.4,100,20,4.61,few clouds
Shumikha,RU,55.2261,63.2961,18.39,93,9,8.12,clear sky
Tiksi,RU,71.6872,128.8694,-17.43,93,50,4.5,scattered clouds
Yumen,CN,40.2833,97.2,45.55,23,100,15.52,overcast clouds
Kamiiso,JP,41.8167,140.65,51.8,82,75,4.61,light rain
Namie,JP,37.4833,141.0,59.0,68,100,10.76,overcast clouds
San Cristobal,VE,7.7669,-72.225,80.6,78,40,2.3,scattered clouds
Fort Nelson,CA,58.8053,-122.7002,21.2,53,75,5.75,broken clouds
Zdvinsk,RU,54.7021,78.661,24.22,95,95,10.65,overcast clouds
Bonavista,CA,48.6499,-53.1147,35.01,86,100,1.14,overcast clouds
Touros,BR,-5.1989,-35.4608,78.8,83,75,2.3,broken clouds
Severo-Kurilsk,RU,50.6789,156.125,27.82,60,42,13.65,scattered clouds
Paita,PE,-5.0892,-81.1144,73.87,77,100,11.99,overcast clouds
Luena,AO,-11.7833,19.9167,61.47,96,91,1.45,light rain
Pevek,RU,69.7008,170.3133,-11.47,90,100,3.24,overcast clouds
Thompson,CA,55.7435,-97.8558,12.2,48,75,6.91,broken clouds
Yerbogachen,RU,61.2767,108.0108,12.0,91,100,5.75,overcast clouds
Eureka,US,40.8021,-124.1637,52.0,83,100,5.99,overcast clouds
Portland,US,45.5234,-122.6762,48.2,87,90,5.75,overcast clouds
Bastia,FR,42.6667,9.3333,52.0,71,0,6.91,clear sky
Aleksandrov Gay,RU,50.147,48.5704,32.59,85,99,22.17,overcast clouds
Iqaluit,CA,63.7506,-68.5145,-16.01,69,75,4.0,broken clouds
Tessalit,ML,20.1986,1.0114,66.07,10,0,11.7,clear sky
Cabo San Lucas,MX,22.8909,-109.9124,71.6,63,40,17.27,scattered clouds
Vila Franca Do Campo,PT,37.7167,-25.4333,55.4,71,20,4.61,few clouds
Banyo,CM,6.75,11.8167,66.7,90,100,3.58,overcast clouds
Dombas,NO,62.0696,9.1235,12.74,95,51,3.56,broken clouds
Sao Felix Do Xingu,BR,-6.6447,-51.995,72.39,96,100,1.36,overcast clouds
Sergeyevka,KZ,53.88,67.4158,18.05,95,100,10.78,overcast clouds
Bengkulu,ID,-3.8004,102.2655,76.64,77,100,3.31,overcast clouds
Dhidhdhoo,MV,6.8833,73.1,81.99,74,69,4.94,broken clouds
Bacungan,PH,9.9106,118.7022,86.0,70,40,4.61,scattered clouds
Castro,BR,-24.7911,-50.0119,65.21,88,61,2.8,broken clouds
Asmar,AF,35.0333,71.3581,50.9,46,65,9.48,broken clouds
Zyryanka,RU,65.75,150.85,-1.07,83,100,9.53,overcast clouds
Nynashamn,SE,58.9034,17.9479,45.0,86,100,1.99,overcast clouds
Khatanga,RU,71.9667,102.5,-9.76,95,57,3.62,broken clouds
Paamiut,GL,61.994,-49.6678,13.5,84,100,12.5,light snow
Ipixuna,BR,-1.7625,-48.8043,75.2,100,75,3.44,moderate rain
Beloha,MG,-25.1667,45.05,66.18,91,19,4.41,few clouds
Mangrol,IN,21.1167,70.1167,77.22,45,1,10.02,clear sky
Sungaipenuh,ID,-2.0833,101.3833,67.35,86,99,2.1,overcast clouds
Ende,ID,-8.8432,121.6623,84.79,65,17,1.95,few clouds
Manakara,MG,-22.1333,48.0167,73.9,92,97,6.13,light rain
Camabatela,AO,-8.1881,15.375,64.54,99,100,4.63,overcast clouds
Chuy,UY,-33.6971,-53.4616,66.18,85,1,7.02,clear sky
Haines Junction,CA,60.7522,-137.5108,30.2,34,100,8.05,overcast clouds
Tuktoyaktuk,CA,69.4541,-133.0374,5.0,72,90,10.36,overcast clouds
Binzhou,CN,37.3667,118.0167,63.0,45,0,5.41,clear sky
Reconquista,AR,-29.15,-59.65,76.95,75,50,8.72,scattered clouds
Noumea,NC,-22.2763,166.4572,87.01,51,90,4.61,overcast clouds
Vila Velha,BR,-20.3297,-40.2925,78.8,83,75,4.61,broken clouds
Cardoso,BR,-20.0819,-49.9142,79.84,48,95,4.94,overcast clouds
Tyup,KG,42.7276,78.3648,38.39,55,100,1.32,overcast clouds
Tuy Hoa,VN,13.0833,109.3,76.8,85,100,6.78,overcast clouds
Nishihara,JP,26.1842,127.7558,71.6,68,40,13.8,scattered clouds
Kruisfontein,ZA,-34.0033,24.7314,70.0,81,100,5.99,overcast clouds
Soyo,AO,-6.1349,12.3689,78.1,78,100,3.44,overcast clouds
Dagda,LV,56.0951,27.5372,35.26,85,100,6.17,overcast clouds
Kamenka,RU,51.3223,42.7678,34.0,91,100,15.28,overcast clouds
Satun,TH,6.8333,100.0,77.0,100,20,3.09,few clouds
Bokovskaya,RU,49.229,41.8306,32.83,98,100,14.88,snow
Kisangani,CD,0.5167,25.2,70.54,98,95,1.79,overcast clouds
Edd,ER,13.9297,41.6925,85.42,21,0,16.42,clear sky
Cherskiy,RU,68.75,161.3,-0.04,89,100,4.25,overcast clouds
Asau,RO,46.4333,26.4,30.99,58,100,5.28,overcast clouds
Yermekeyevo,RU,54.0761,53.6712,22.55,89,54,4.14,broken clouds
Merauke,ID,-8.4667,140.3333,84.24,71,93,3.74,overcast clouds
Olinda,BR,-8.0089,-34.8553,80.6,65,40,9.22,scattered clouds
Atuona,PF,-9.8,-139.0333,80.62,76,26,19.08,scattered clouds
Nemuro,JP,43.3236,145.575,41.0,75,0,1.14,clear sky
Cockburn Town,TC,21.4612,-71.1419,77.0,73,40,13.8,scattered clouds
Arman,RU,59.7,150.1667,9.72,61,44,10.09,scattered clouds
Hilo,US,19.7297,-155.09,86.0,48,1,18.41,clear sky
Busing,PH,13.1514,122.9714,80.69,72,77,8.75,broken clouds
Jacareacanga,BR,-6.2222,-57.7528,73.31,98,100,2.24,heavy intensity rain
Santa Cruz Del Sur,CU,20.7147,-77.9956,78.62,75,61,3.18,broken clouds
Emerald,AU,-23.5333,148.1667,84.99,39,5,10.36,clear sky
Chardara,KZ,41.2547,67.9692,62.42,48,100,18.57,overcast clouds
Broome,US,42.2506,-75.833,55.0,93,90,10.36,overcast clouds
Alice Springs,AU,-23.7,133.8833,77.0,57,0,6.91,clear sky
Lakes Entrance,AU,-37.8811,147.981,66.0,76,21,5.01,few clouds
Tuatapere,NZ,-46.1333,167.6833,63.0,75,5,3.0,clear sky
Adrar,MR,20.5022,-10.0711,70.88,11,0,11.99,clear sky
Olafsvik,IS,64.8945,-23.7142,31.21,62,85,10.74,overcast clouds
Asfi,MA,32.2994,-9.2372,58.15,55,0,14.41,clear sky
Eyl,SO,7.9803,49.8164,73.71,73,0,9.62,clear sky
Harvard,US,42.4222,-88.6137,46.99,89,99,17.63,overcast clouds
Luanda,AO,-8.8368,13.2343,78.8,83,75,8.95,light rain
Kysyl-Syr,RU,63.8986,122.7617,-3.93,95,80,2.86,broken clouds
Kieta,PG,-6.2167,155.6333,84.92,66,100,3.83,overcast clouds
Cheney,US,47.4874,-117.5758,43.0,81,90,8.05,overcast clouds
Dudinka,RU,69.4058,86.1778,19.44,95,100,11.01,light snow
Namibe,AO,-15.1961,12.1522,72.77,81,100,5.08,light rain
Nalvo,PH,16.8096,120.5108,81.55,66,6,2.71,clear sky
Tambopata,PE,-12.7333,-69.1833,72.48,95,71,2.1,broken clouds
Bandarbeyla,SO,9.4942,50.8122,75.2,65,1,5.35,clear sky
Maceio,BR,-9.6658,-35.7353,75.2,94,75,3.44,broken clouds
Bathsheba,BB,13.2167,-59.5167,78.8,61,40,16.11,scattered clouds
Tekanto,MX,21.0167,-89.1,91.0,51,20,18.41,few clouds
Pierre,US,44.3683,-100.351,48.0,56,1,6.91,clear sky
Batie,BF,9.8833,-2.9167,82.26,24,85,7.11,overcast clouds
Poum,NC,-20.2333,164.0167,80.35,75,26,18.9,scattered clouds
Zhigansk,RU,66.7697,123.3711,-16.62,99,100,7.14,overcast clouds
San Jose,US,37.3394,-121.895,66.99,34,75,11.5,broken clouds
Faanui,PF,-16.4833,-151.75,83.68,74,98,21.59,overcast clouds
Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,66.74,84,0,7.29,clear sky
Yar-Sale,RU,66.8333,70.8333,9.63,95,38,11.41,scattered clouds
Boende,CD,-0.2167,20.8667,70.84,99,100,2.68,moderate rain
Lahan,NP,26.7296,86.4951,74.17,21,0,4.74,clear sky
Kapuskasing,CA,49.4169,-82.4331,33.8,93,100,4.61,light rain
Airai,TL,-8.9266,125.4092,71.96,66,50,2.17,scattered clouds
Puerto Escondido,MX,15.85,-97.0667,80.6,78,1,6.91,clear sky
Nanortalik,GL,60.1432,-45.2371,17.37,57,43,33.98,scattered clouds
Canutama,BR,-6.5339,-64.3831,71.29,98,97,1.7,overcast clouds
Saskylakh,RU,71.9167,114.0833,-4.5,92,100,8.97,overcast clouds
Sampit,ID,-2.5333,112.95,81.32,79,100,1.79,heavy intensity rain
Kavieng,PG,-2.5744,150.7967,83.7,72,92,9.73,light rain
Jaranwala,PK,31.3333,73.4333,58.93,67,30,5.64,scattered clouds
Taltal,CL,-25.4,-70.4833,67.42,78,6,4.16,clear sky
Gurupa,BR,-1.405,-51.64,72.16,98,100,3.2,moderate rain
Hun,LY,29.1268,15.9477,48.02,62,6,3.31,clear sky
Mahon,ES,39.8885,4.2658,50.0,93,0,6.91,clear sky
Neryungri,RU,56.6709,124.6491,16.09,90,100,5.14,light snow
Waggaman,US,29.9185,-90.2109,70.0,83,90,6.91,overcast clouds
Port Lincoln,AU,-34.7333,135.8667,65.89,54,7,12.3,clear sky
Palu,ID,-0.8917,119.8707,82.69,81,100,1.25,overcast clouds
Longyearbyen,SJ,78.2186,15.6401,26.6,74,40,12.66,scattered clouds
Makakilo City,US,21.3469,-158.0858,80.6,88,90,10.36,light rain
Lata,PT,40.1629,-8.3327,46.0,87,5,1.01,clear sky
Galle,LK,6.0367,80.217,76.59,87,100,4.63,light rain
Kyra,RU,49.5776,111.9753,31.1,67,100,1.19,overcast clouds
Lorengau,PG,-2.0226,147.2712,83.44,73,74,7.09,broken clouds
Pedernales,DO,18.0384,-71.744,78.1,72,2,7.38,clear sky
Russell,US,32.3502,-85.1999,64.4,88,20,4.38,few clouds
Baie-Comeau,CA,49.2168,-68.1489,39.2,65,90,13.8,overcast clouds
Vila Cha,PT,40.8667,-8.4667,46.99,94,49,3.09,scattered clouds
Richards Bay,ZA,-28.783,32.0377,69.64,68,100,3.4,overcast clouds
Beringovskiy,RU,63.05,179.3167,17.29,78,11,3.62,few clouds
Kloulklubed,PW,7.0419,134.2556,84.2,79,75,11.5,broken clouds
Salinopolis,BR,-0.6136,-47.3561,76.71,90,100,8.28,moderate rain
Alofi,NU,-19.0595,-169.9187,86.0,74,75,9.22,light rain
Codajas,BR,-3.8367,-62.0569,70.92,95,94,2.35,overcast clouds
Damghan,IR,36.1683,54.348,63.16,37,96,4.25,overcast clouds
Vanavara,RU,60.34,102.2797,20.57,94,100,6.71,light snow
Shumskiy,RU,54.8318,99.1328,30.51,63,97,13.0,overcast clouds
Dingle,PH,10.9995,122.6711,82.96,73,100,14.92,overcast clouds
Santa Cruz De Tenerife,ES,28.4682,-16.2546,66.99,27,11,6.91,few clouds
Zabol,AF,32.25,67.25,51.8,26,98,7.18,overcast clouds
Qinhuangdao,CN,39.9317,119.5883,54.88,30,44,12.44,scattered clouds
Bethanien,NA,-26.502,17.1583,71.91,36,0,5.14,clear sky
Ketchikan,US,55.3422,-131.6461,42.8,65,90,11.5,overcast clouds
Berlevag,NO,70.8578,29.0864,32.13,83,20,16.42,few clouds
Macapa,BR,0.0389,-51.0664,77.0,94,75,3.44,broken clouds
Tasiilaq,GL,65.6145,-37.6368,5.0,66,75,9.22,broken clouds
Yanam,IN,16.7333,82.2167,77.0,78,20,5.75,mist
Belyy Yar,RU,53.6039,91.3903,28.4,50,0,13.42,clear sky
Tripoli,LY,32.8752,13.1875,54.95,62,10,9.69,clear sky
Araouane,ML,18.9048,-3.5265,70.93,8,9,13.96,clear sky
Rio De Janeiro,BR,-22.9028,-43.2075,81.0,89,40,4.61,scattered clouds
Husavik,IS,66.0449,-17.3389,33.8,51,0,5.75,clear sky
Montbeliard,FR,47.5167,6.8,37.99,80,0,1.14,clear sky
Banda Aceh,ID,5.5577,95.3222,80.24,77,37,8.9,scattered clouds
Salto,UY,-31.3833,-57.9667,79.0,89,100,5.99,overcast clouds
Serik,TR,36.9169,31.0989,46.0,49,0,13.8,clear sky
Leningradskiy,RU,69.3833,178.4167,-4.83,92,100,13.58,overcast clouds
Komsomolskiy,UZ,40.4272,71.7189,53.6,47,15,4.61,few clouds
Chudovo,RU,59.1167,31.6833,35.29,91,100,7.9,overcast clouds
Port Elizabeth,ZA,-33.918,25.5701,68.0,88,75,8.05,broken clouds
Abu Dhabi,AE,24.4667,54.3667,77.0,68,0,2.3,clear sky
Pangkalanbuun,ID,-2.6833,111.6167,82.2,74,100,1.61,overcast clouds
Baghdad,IQ,33.3406,44.4009,64.4,39,69,18.41,broken clouds
Praia,CV,14.9215,-23.5087,69.26,80,1,16.26,clear sky
Micheweni,TZ,-4.9667,39.8333,80.67,72,10,3.27,clear sky
Montepuez,MZ,-13.1256,38.9997,65.5,97,79,3.58,broken clouds
Holme,DK,56.1138,10.1725,42.8,93,40,8.05,scattered clouds
Umm Lajj,SA,25.0213,37.2685,70.5,39,0,14.83,clear sky
Leh,IN,34.1667,77.5833,21.34,76,97,3.02,overcast clouds
Kungurtug,RU,50.5994,97.5228,24.89,83,75,3.78,broken clouds
Owensboro,US,37.7742,-87.1133,62.6,63,1,5.75,clear sky
Tautira,PF,-17.7333,-149.15,86.0,66,75,13.8,light rain
Harper,LR,4.375,-7.7169,78.04,88,100,0.87,overcast clouds
Mount Gambier,AU,-37.8333,140.7667,62.6,67,75,16.11,broken clouds
Pemberton,CA,50.3164,-122.8027,42.8,70,90,3.44,overcast clouds
Krasnoselkup,RU,65.7,82.4667,11.05,99,96,7.83,overcast clouds
Kholm-Zhirkovskiy,RU,55.5189,33.4731,24.75,96,90,4.14,overcast clouds
Joshimath,IN,30.5667,79.5667,40.01,39,0,9.71,clear sky
Parchim,DE,53.4263,11.8488,39.0,93,100,1.01,overcast clouds
Balakliya,UA,49.4627,36.8595,32.0,74,90,13.42,snow
Stromness,GB,58.965,-3.296,42.8,81,75,19.57,broken clouds
Atbasar,KZ,51.8,68.3333,3.88,99,99,1.34,overcast clouds
Jertih,MY,5.7336,102.4897,77.0,100,20,0.83,few clouds
Saint-Augustin,CA,51.226,-58.6502,27.88,96,100,4.0,overcast clouds
Champerico,GT,14.3,-91.9167,84.2,74,40,6.91,scattered clouds
Qandala,SO,11.472,49.8728,77.7,41,5,6.42,clear sky
Beauceville,CA,46.2179,-70.7787,50.0,50,100,2.3,overcast clouds
Shashi,CN,30.3072,112.2447,68.0,64,0,4.05,clear sky
Breznice,CZ,49.5576,13.9506,36.0,99,6,3.87,clear sky
Tual,ID,-5.6667,132.75,82.76,74,100,7.14,overcast clouds
Fort-Shevchenko,KZ,44.5086,50.263,41.27,90,91,28.1,overcast clouds
Douentza,ML,14.9951,-2.9517,80.11,9,100,8.19,overcast clouds
Khani,GE,41.9563,42.9566,41.0,93,90,2.3,overcast clouds
Catia La Mar,VE,10.6038,-67.0303,80.6,74,75,2.3,broken clouds
Tiznit,MA,29.5833,-9.5,64.72,23,0,5.37,clear sky
Buraydah,SA,26.326,43.975,77.0,38,0,9.22,clear sky
Saint-Francois,FR,46.4154,3.9054,41.0,93,0,3.44,clear sky
Laje,BR,-10.1833,-40.9667,71.02,48,5,5.14,clear sky
Matara,LK,5.9485,80.5353,75.96,89,100,4.5,moderate rain
Okhotsk,RU,59.3833,143.3,6.3,70,100,9.78,overcast clouds
Ventspils,LV,57.3894,21.5606,39.2,100,83,10.36,mist
Vardo,NO,70.3705,31.1107,34.56,78,98,28.7,overcast clouds
Xam Nua,LA,20.4197,104.0439,67.1,75,22,2.89,few clouds
Chapais,CA,49.7834,-74.8492,46.4,49,90,5.75,overcast clouds
Kahului,US,20.8947,-156.47,80.6,65,40,8.05,scattered clouds
Mega,ET,4.05,38.3,59.09,38,76,9.82,broken clouds
Thunder Bay,CA,48.4001,-89.3168,23.0,86,90,10.36,light snow
Inhambane,MZ,-23.865,35.3833,70.07,84,28,6.22,scattered clouds
